Repository,Is Fork,Last Updated,ASN1C Source Last Updated,Status,Abandonment Date,Stars,Forks
andrade/srx,False,2021-11-03 13:18:08+00:00,2021-11-03 13:18:08+00:00,Abandoned,,0,0
flydog-sdr/FlyCat_SDR_GPS,False,2024-02-13 12:42:50+00:00,,Active,,2,0
nxp-archive/s32g2-fota-sw,False,2021-09-17 08:32:53+00:00,2021-09-17 08:32:53+00:00,Abandoned,,6,0
wineslab/colosseum-scope-e2,False,2024-06-10 22:35:53+00:00,2021-12-08 20:26:27+00:00,ActiveLessThan10CommitsThisYear,,19,0
onosproject/openairinterface5g,False,2024-07-01 08:57:54+00:00,2021-01-05 22:31:12+00:00,ActiveLessThan10CommitsThisYear,,13,0
o-ran-sc/ric-app-hw,False,2021-02-26 17:38:45+00:00,2021-02-26 07:17:53+00:00,Abandoned,,7,0
onosproject/onos-e2-sm,False,2024-07-02 01:24:03+00:00,2020-11-02 11:11:35+00:00,Active,,8,0
wineslab/xapp-oai,False,2022-10-27 15:47:04+00:00,2022-10-04 12:35:35+00:00,Active,,6,0
ANTLab-polimi/ocp-e2sim,False,2023-07-10 14:08:46+00:00,2022-07-14 23:38:47+00:00,Active,,0,0
tolgaoa/xrfoauth,False,2023-06-03 14:03:41+00:00,2022-06-08 19:55:31+00:00,ActiveLessThan10CommitsThisYear,,4,0
o-ran-sc/scp-ric-app-kpimon,False,2021-02-09 17:26:30+00:00,2020-07-27 06:02:49+00:00,Abandoned,,0,0
o-ran-sc/ric-app-rc,False,2022-01-26 18:55:35+00:00,2021-12-07 04:53:03+00:00,Abandoned,2022-01-26 18:55:35+00:00,2,0
ljy5490/snort-mms-61850,False,2019-05-26 14:42:00+00:00,2019-04-10 08:45:40+00:00,Abandoned,,4,0
wineslab/oai-o-ran-e2-sim,False,2022-02-10 00:06:55+00:00,2022-02-10 00:06:55+00:00,Abandoned,2022-02-10 00:06:55+00:00,2,0
alexandre-huff/handover-xapp,False,2024-04-16 14:24:39+00:00,2024-04-12 16:49:10+00:00,YoungRepo,,0,0
wineslab/ns-o-ran-xapp-rc,False,2023-05-16 01:29:46+00:00,2021-12-07 04:53:03+00:00,Active,,0,0
wineslab/ns-o-ran-scp-ric-app-kpimon,False,2023-05-16 22:06:12+00:00,2020-07-27 06:02:49+00:00,Active,,1,0
claualc/ocp-e2sim-modified,False,2024-09-15 20:58:10+00:00,2024-06-02 11:22:23+00:00,Active,,0,0
lasseufpa/e2sim,False,2024-10-10 18:11:25+00:00,2020-09-14 16:05:31+00:00,Active,,0,0
alexandre-huff/e2sim-rc,False,2023-05-13 16:28:15+00:00,2022-10-10 14:55:22+00:00,Active,,1,0
AbdouTlili/OpenAirInterface-5G-SA-ONF-E2agent,False,2022-06-14 12:57:31+00:00,2022-05-19 16:27:12+00:00,Abandoned,2022-06-14 12:57:31+00:00,2,0
han-hong-chang/kpimon-go-xapp,False,2024-12-09 01:34:40+00:00,2024-08-02 04:13:38+00:00,YoungRepo,,0,0
TingYangLiu/kpimon_greigns,False,2024-10-28 10:03:52+00:00,2024-10-28 10:03:52+00:00,YoungRepo,,0,0
den-dimas/colosseum-ric-app-kpimon,False,2023-05-16 22:06:12+00:00,2020-07-27 06:02:49+00:00,UnknownFutureRepo,,0,0
Abdfikih/rc-version,False,2024-08-09 10:18:31+00:00,2021-12-07 04:53:03+00:00,Active,,0,0
o-ran-sc/sim-e2-interface,False,2021-05-31 15:28:47+00:00,2020-09-14 16:05:31+00:00,Abandoned,,5,0
a2labsllc/comets-xrf,False,2023-12-16 00:53:12+00:00,2023-12-16 00:53:12+00:00,YoungRepo,,0,0
dennis5581407/slice_enable_scheduler,False,2023-08-25 08:48:38+00:00,2022-11-21 09:49:43+00:00,Active,,1,0
johnson-penguin/j-odu,False,2024-08-23 05:48:12+00:00,2022-11-14 13:38:35+00:00,Active,,0,0
Richard-yq/NTUST-OSC-DU-nFAPI,False,2024-05-07 13:03:28+00:00,2024-04-24 12:41:01+00:00,Active,,1,0
dong881/NTUST-OSC-DU-nFAPI,False,2024-10-16 04:00:10+00:00,2024-06-28 09:34:48+00:00,Active,,0,0
penguinic77/odu-l2,False,2023-10-18 13:53:04+00:00,2020-02-07 10:45:55+00:00,Active,,1,0
rightbear/OSC_L2,False,2024-03-30 18:18:53+00:00,2024-03-30 18:18:53+00:00,YoungRepo,,0,0
Risteel/E2_Term,False,2022-12-11 15:50:25+00:00,2021-12-08 20:26:27+00:00,Abandoned,2022-12-11 15:50:25+00:00,0,0
o-ran-sc/ric-app-bouncer,False,2023-06-28 12:33:26+00:00,2023-06-28 12:33:26+00:00,ActiveLessThan10CommitsThisYear,,0,0
AbdouTlili/onos-e2-sm,False,2022-11-10 15:44:43+00:00,2020-11-02 11:11:35+00:00,Abandoned,2022-11-10 15:44:43+00:00,2,0
Paloma-96/xapp-oai,False,2022-10-27 15:47:04+00:00,2022-10-04 12:35:35+00:00,Active,,1,0
ToriRobert/o1,False,2024-08-18 12:02:38+00:00,2024-08-18 12:02:38+00:00,YoungRepo,,0,0
codemaverik/RICAppBouncer,False,2023-06-28 12:33:26+00:00,2023-06-28 12:33:26+00:00,Active,,0,0
Hu-Pen-Chih/cve_cwe_capec_09,False,2024-10-19 10:21:53+00:00,2024-08-29 08:56:35+00:00,Active,,0,0
copslock/o-ran_sim_e2-interface,False,2020-11-27 14:18:31+00:00,2020-09-14 16:05:31+00:00,Abandoned,,0,0
EugenioMoro/ocp-e2sim,False,2021-05-31 15:28:47+00:00,2020-09-14 16:05:31+00:00,Active,,0,0
jackiedinh8/1m_tcp_connections,False,2021-09-25 15:03:58+00:00,2021-09-24 16:51:29+00:00,Abandoned,,3,0
fatemeshafiee/oai-smf,False,2024-11-26 06:49:25+00:00,2021-05-21 21:55:38+00:00,Active,,1,0
kukkalli/oai-cn5g-fed,False,2022-03-25 15:01:47+00:00,2022-03-25 15:01:47+00:00,Abandoned,,1,0
pragyasharmaa/5G-WAVE-Infocom2024,False,2024-01-12 06:55:22+00:00,2024-01-11 21:11:20+00:00,YoungRepo,,1,0
NJ-SunJiawei/open5gs-cmake,False,2022-12-25 15:37:30+00:00,2022-12-25 15:37:30+00:00,Abandoned,,3,0
andrewferguson/open5gs-corekube,False,2024-03-29 00:33:38+00:00,2019-04-27 14:54:30+00:00,ActiveLessThan10CommitsThisYear,,1,0
JiahaoZZhang/MBDSimulation,False,2024-05-30 14:03:09+00:00,2024-02-01 11:50:44+00:00,YoungRepo,,1,0
iyourshaw/j2735-2024-ffm-lib,False,2024-12-11 22:00:12+00:00,2024-11-09 23:30:55+00:00,Active,,0,0
copslock/o-ran_it_test,False,2019-12-09 15:43:45+00:00,2019-10-28 15:07:23+00:00,Abandoned,,0,0
